a              .6 -w
brush          .brAS -w
brushes        .brASIz -w
brushing       .brASIN -w
bubbles        .bAbLz -w
buckets        .bAkIts -w
buckling       .bAklIN -w
bucky          .bAki -w
buddy          .bAdi -w
bug            .bAg -w
bugs           .bAgz -w
build          .bIld -w
building       .bIldIN -w
buildings      .bIldINz -w
builds         .bIldz -w
built          .bIlt -w
bunch          .bAnc -w
bunnies        .bAniz -w
bunny          .bAni -w
bunny's        .bAniz -w
buses          .bAsIz -w
bush           .bUS -w
bushes         .bUSIz -w
busy           .bIzi -w
but            .b6t -w
but's          .b6ts -w
butter         .bAtR -w
butterflies    .bAtRfl9z -w
butterfly      .bAtRfl9 -w
button         .bAt~ -w
buttoned       .bAt~d -w
buttonhole     .bAt~hol -w
buttoning      .bAt~IN -w
buttons        .bAt~z -w
buy            .b9 -w
by             .b9 -w
bye            .b9 -w
c@l            .si -w
cabinet        .k&b6nIt -w
cage           .keG -w
cages          .keGIz -w
cake           .kek -w
cakes          .keks -w
california     .k&l6f%ny6 -w
call           .kOl -w
called         .kOld -w
calling        .kOlIN -w
calls          .kOlz -w
came           .kem -w
can            .k&n -w
can't          .k&nt -w
canton         .k&nt~ -w
cap            .k&p -w
capable        .kep6bL -w
captain        .k&pt~ -w
car            .k# -w
cardboard      .k#db%d -w
cards          .k#dz -w
care           .k* -w
careful        .k*fL -w
cares          .k*z -w
carried        .k*id -w
carries        .k*iz -w
carrot         .k*6t -w
carrots        .k*6ts -w
carry          .k*i -w
cars           .k#z -w
case           .kes -w
cassy          .k&si -w
castle         .k&sL -w
castles        .k&sLz -w
cat            .k&t -w
cat's          .k&ts -w
catch          .k&c -w
catching       .k&cIN -w
categorical    .k&tIg%IkL -w
categories     .k&tIg%iz -w
cats           .k&ts -w
caught         .kOt -w
cause          .kOz -w
caves          .kevz -w
cents          .sEnts -w
cereal         .s(iL -w
certain        .s3t~ -w
chain          .cen -w
chair          .c* -w
chairs         .c*z -w
change         .cenG -w
changed        .cenGd -w
changing       .cenGIN -w
character      .k*IktR -w
characteristic .k*Ikt6rIstIk -w
characters     .k*IktRz -w
cheek          .cik -w
cheeks         .ciks -w
cheerios       .c(ioz -w
cheese         .ciz -w
chew           .cu -w
chick          .cIk -w
chicken        .cIk~ -w
chickens       .cIk~z -w
chickies       .cIkiz -w
chicks         .cIks -w
chico          .ciko -w
child          .c9ld -w
children       .cIldr~ -w
chin           .cIn -w
chips          .cIps -w
chocolate      .cOklIt -w
chomp          .cOmp -w
chores         .c%z -w
chose          .coz -w
christmas      .krIsm6s -w
christopher    .krIst6fR -w
cindy          .sIndi -w
cindy's        .sIndiz -w
circles        .s3kLz -w
circumstances  .s3kMst&nsIz -w
civilization   .sIv6l6zeS~ -w
clapping       .kl&pIN -w
class          .kl&s -w
clay           .kle -w
clean          .klin -w
cleaned        .klind -w
cleaner        .klinR -w
cleaning       .klinIN -w
cleans         .klinz -w
clear          .kl( -w
clearly        .kl(li -w
clicking       .klIkIN -w
climb          .kl9m -w
climbed        .kl9md -w
climbing       .kl9mIN -w
climbs         .kl9mz -w
clings         .klIN -w
clobber        .klabR -w
clock          .klak -w
close          .kloz -w
closed         .klozd -w
closely        .klosli -w
cloth          .klOT -w
clothes        .kloz -w
clothing       .kloDIN -w
clouds         .klQdz -w
cluttering     .klAtRIN -w
coat           .kot -w
coats          .kots -w
coffee         .kOfi -w
cold           .kold -w
color          .kAlR -w
color's        .kAlRz -w
colored        .kAlRd -w
coloring       .kAlRIN -w
colors         .kAlRz -w
comb           .kom -w
combed         .komd -w
combing        .komIN -w
combs          .komz -w
come           .kAm -w
comes          .kAmz -w
coming         .kAmIN -w
common         .kam~ -w
compared       .kMp*d -w
completely     .kMplitli -w
concentrating  .kans~tretIN -w
concept        .kansEpt -w
confuse        .k~fyuz -w
confused       .k~fyuzd -w
connect        .k6nEkt -w
connecting     .k6nEktIN -w
connection     .k6nEkS~ -w
connections    .k6nEkS~z -w
connotes       .k6nots -w
conscious      .kanS6s -w
considers      .k~sIdRz -w
consistent     .k~sIst~t -w
consistently   .k~sIst~tli -w
constantly     .kanst~tli -w
constellation  .kanst6leS~ -w
construct      .k~strAkt -w
contact        .kant&kt -w
containable    .k~ten6bL -w
content        .kantEnt -w
context        .kantEkst -w
continually    .k~tInyu6li -w
continue       .k~tInyu -w
control        .k~trol -w
conversation   .kanvRseS~ -w
conversations  .kanvRseS~z -w
cookie         .kUki -w
cookies        .kUkiz -w
cooking        .kUkIN -w
cops           .kaps -w
cord           .k%d -w
corduroy       .k%d6r7 -w
corner         .k%nR -w
correct        .k6rEkt -w
correctly      .k6rEktli -w
correspondance .k%6spand~s -w
cotton         .kat~ -w
couches        .kQcIz -w
cough          .kOf -w
could          .k6d -w
couldn't       .k6d~t -w
count          .kQnt -w
counted        .kQntId -w
counting       .kQntIN -w
counts         .kQnts -w
couple         .kApL -w
course         .k%s -w
cousin         .kAz~ -w
cousins        .kAz~z -w
cover          .kAvR -w
covered        .kAvRd -w
cow            .kQ -w
cow's          .kQz -w
cows           .kQz -w
crack          .kr&k -w
cracked        .kr&kt -w
crackers       .kr&kRz -w
crane          .kren -w
crayon         .krean -w
crayons        .kreanz -w
crazy          .krezi -w
cream          .krim -w
creates        .kriets -w
creatively     .krietIvli -w
crib           .krIb -w
crocodile      .krak6d9l -w
crocodiles'    .krak6d9lz -w
crunch         .krUnc -w
crying         .kr9IN -w
cubes          .kyubz -w
cup            .kAp -w
cupfuls        .kApfUlz -w
cups           .kAps -w
curious        .ky)i6s -w
curly          .k3li -w
cut            .kAt -w
cute           .kyut -w
cutest         .kyutIst -w
cutey          .kyuti -w
d@l            .di -w
dad            .d&d -w
dada           .d&d& -w
dada's         .d&d&z -w
daddy          .d&di -w
daddy's        .d&diz -w
daffodils      .d&f6dIlz -w
daisies        .deziz -w
daisy          .dezi -w
dale           .del -w
dan            .d&n -w
dan's          .d&nz -w
dance          .d&ns -w
dangerous      .denGR6s -w
dapper         .d&pR -w
darling        .d#lIN -w
date           .det -w
daughter       .dOtR -w
day            .de -w
days           .dez -w
deal           .dil -w
dear           .d( -w
decide         .dIs9d -w
decided        .dIs9dId -w
deep           .dip -w
definitely     .dEf6nItli -w
delay          .dIle -w
delicious      .dIlIS6s -w
delighted      .dIl9tId -w
delivers       .dIlIvRz -w
demonstrate    .dEm~stret -w
dentist        .dEntIst -w
dentist's      .dEntIsts -w
depending      .dIpEndIN -w
depends        .dIpEndz -w
desire         .dIz9R -w
desk           .dEsk -w
dessert        .dIz3t -w
destruction    .dIstrAkS~ -w
dextrous       .dEkstr6s -w
dial           .d9L -w
dials          .d9Lz -w
diaper         .d9pR -w
diapers        .d9pRz -w
did            .dId -w
didn't         .dId~t -w
difference     .dIfr~s -w
different      .dIfr~t -w
differentiate  .dIf6rEnSiet -w
differently    .dIfr~tli -w
difficult      .dIfIkAlt -w
difficulty     .dIfIkAlti -w
dig            .dIg -w
digby          .dIgbi -w
digits         .dIGIt -w
dining         .d9nIN -w
dinner         .dInR -w
dinnertime     .dInRt9m -w
dinosaur       .d9n6s% -w
directing      .dIrEktIN -w
direction      .dIrEkS~ -w
directions     .dIrEkS~z -w
dirt           .d3t -w
dirty          .d3ti -w
disappearing   .dIs6p( -w
discussed      .dIskAst -w
dish           .dIS -w
dishwasher     .dISwaSR -w
dismantle      .dIsm&ntL -w
dismay         .dIsme -w
disney         .dIzni -w
distinct       .dIstINkt -w
distinction    .dIstINkS~ -w
distinguishes  .dIstINgwISIz -w
dive           .d9v -w
do             .du -w
doctor         .daktR -w
doctor's       .daktRz -w
does           .dAz -w
doesn't        .dAz~t -w
dog            .dOg -w
dog's          .dOgz -w
doggie         .dOgi -w
doggie's       .dOgiz -w
doggies        .dOgiz -w
doggy          .dOgi -w
doghouse       .dOghQs -w
dogs           .dOgz -w
doing          .duIN -w
doll           .dal -w
doll's         .dalz -w
dollars        .dalRz -w
dollhouse      .dalhQs -w
dollies        .daliz -w
dolls          .dalz -w
dolly          .dali -w
dolly's        .daliz -w
dolphin        .dalfIn -w
don't          .dont -w
donald         .danLd -w
done           .dAn -w
donut          .don6t -w
door           .d% -w
door's         .d%z -w
doors          .d%z -w
doorway        .d%we -w
double         .dAbL -w
doubling       .dAblIN -w
doubt          .dQt -w
dough          .do -w
down           .dQn -w
dozen          .dAz~ -w
dragon         .dr&g~ -w
dragon's       .dr&g~z -w
dragons        .dr&g~z -w
drags          .dr&gz -w
drape          .drep -w
draw           .drO -w
drawers        .dr%z -w
drawing        .drOIN -w
draws          .drOz -w
dress          .drEs -w
dressed        .drEst -w
dresser        .drEsR -w
dresses        .drEsIz -w
drink          .drINk -w
drinking       .drINkIN -w
drive          .dr9v -w
driveway       .dr9vwe -w
drop           .drap -w
dropped        .drapt -w
drove          .drov -w
drum           .drAm -w
drum's         .drAmz -w
drummond       .drAm6nd -w
duck           .dAk -w
duckie         .dAki -w
duckies        .dAkiz -w
ducklings      .dAklINz -w
ducks          .dAks -w
dumbo          .dAmbo -w
dump           .dAmp -w
dumpty         .dAmpti -w
dumpty's       .dAmptiz -w
during         .d)IN -w
e@l            .i -w
each           .ic -w
ear            .( -w
ear's          .(z -w
earlier        .3liR -w
early          .3li -w
earphones      .(fonz -w
ears           .(z -w
easier         .iziR -w
easiest        .iziIst -w
easily         .izli -w
easy           .izi -w
eat            .it -w
eaten          .it~ -w
eating         .itIN -w
eats           .its -w
educational    .EGUkeS6nL -w
edward         .EdwRd -w
egg            .Eg -w
eggs           .Egz -w
eight          .et -w
either         .iDR -w
elastic        .Il&stIk -w
eleanor        .El6nR -w
elephant       .El6f6nt -w
elephants      .El6f6nts -w
eleven         .IlEv~ -w
ella           .El6 -w
ellie          .Eli -w
else           .Els -w
else's         .ElsIz -w
eluded         .IludId -w
emote          .Imot -w
encourage      .Enk3IG -w
encouraged     .Enk3IGd -w
encouraging    .Enk3IGIN -w
end            .End -w
ended          .EndId -w
ends           .Endz -w
energy         .EnRGi -w
engine         .EnG~ -w
enjoy          .EnG7 -w
enjoyed        .EnG7d -w
enjoying       .EnG7IN -w
enjoys         .EnG7z -w
enough         .InAf -w
entered        .EntRd -w
enthusiastic   .EnTuzi&stIk -w
entice         .Ent9s -w
environment    .Env9r~m~t -w
equipment      .IkwIpm~t -w
ernie          .3ni -w
ernie's        .3niz -w
especially     .IspES6li -w
even           .iv~ -w
evening        .ivnIN -w
event          .IvEnt -w
ever           .EvR -w
every          .Evri -w
everybody      .Evribadi -w
everybody's    .Evribadiz -w
everyone       .EvriwAn -w
everyone's     .EvriwAnz -w
everyplace     .Evriples -w
everything     .EvriTIN -w
exactly        .Igz&ktli -w
examples       .Igz&mpLz -w
except         .IksEpt -w
excited        .Iks9tId -w
exciting       .Iks9tIN -w
excuses        .IkskyusIz -w
exercise       .EksRs9z -w
exert          .Igz3t -w
expect         .IkspEkt -w
expensive      .IkspEnsIv -w
experience     .Iksp(i~s -w
explain        .Iksplen -w
explore        .Ikspl% -w
exploring      .Ikspl%IN -w
exposed        .Ikspozd -w
expression     .IksprES~ -w
extent         .IkstEnt -w
extraordinarily .Ikstr%d~*6li -w
extraordinary  .Ikstr%d~*i -w
eye            .9 -w
eyes           .9z -w
f@l            .Ef -w
face           .fes -w
fact           .f&kt -w
fake           .fek -w
fall           .fOl -w
falling        .fOlIN -w
familiar       .f6mIlyR -w
family         .f&mli -w
fan            .f&n -w
fancy          .f&nsi -w
far            .f# -w
farm           .f#m -w
fascinated     .f&s6netId -w
fascination    .f&s6neS~ -w
fast           .f&st -w
faster         .f&stR -w
fat            .f&t -w
father         .faDR -w
fault          .fOlt -w
favorite       .fevrIt -w
favorites      .fevrIts -w
feather        .fEDR -w
fed            .fEd -w
feed           .fid -w
feeding        .fidIN -w
feeds          .fidz -w
feel           .fil -w
feeling        .filIN -w
feels          .filz -w
feet           .fit -w
fell           .fEl -w
felt           .fElt -w
ferocious      .f6roS6s -w
few            .fyu -w
fifth          .fIfT -w
fifty          .fIfti -w
figure         .fIgyR -w
figured        .fIgyRd -w
fill           .fIl -w
filled         .fIld -w
finally        .f9nLi -w
find           .f9nd -w
finding        .f9ndIN -w
fine           .f9n -w
finger         .fINgR -w
fingers        .fINgRz -w
finish         .fInIS -w
finished       .fInISt -w
fire           .f9R -w
first          .f3st -w
fish           .fIS -w
fisher         .fISR -w
fishie         .fISi -w
fishing        .fISIN -w
fit            .fIt -w
fitzpatrick's  .fItsp&trIks -w
five           .f9v -w
fix            .fIks -w
fixed          .fIkst -w
flair          .fl* -w
flairs         .fl*z -w
flap           .fl&p -w
flat           .fl&t -w
float          .flot -w
floor          .fl% -w
floors         .fl%z -w
flower         .flQR -w
flowers        .flQRz -w
fluffy         .flAfi -w
fly            .fl9 -w
flying         .fl9IN -w
folded         .foldId -w
follow         .falo -w
follows        .faloz -w
food           .fud -w
fool           .ful -w
fooling        .fulIN -w
foot           .fUt -w
foot's         .fUts -w
for            .f% -w
forest         .f%Ist -w
forget         .fRgEt -w
forgot         .fRgat -w
forgotten      .fRgat~ -w
fork           .f%k -w
formal         .f%mL -w
forth          .f%T -w
forty          .f%ti -w
found          .fQnd -w
four           .f% -w
frankly        .fr&Nkli -w
free           .fri -w
friday         .fr9de -w
friend         .frEnd -w
friend's       .frEndz -w
friendly       .frEndli -w
friends        .frEndz -w
frightened     .fr9t~d -w
frog           .frOg -w
frog's         .frOgz -w
froggie        .frOgi -w
from           .fr6m -w
front          .frAnt -w
frustrating    .frAstretIN -w
full           .fUl -w
fun            .fAn -w
function       .fANkS~z -w
functions      .fANkS~z -w
funny          .fAni -w
fur            .f3 -w
furniture      .f3nIcR -w
furry          .f3i -w
fuzzy          .fAzi -w
g@l            .Gi -w
gail           .gel -w
gail's         .gelz -w
game           .gem -w
games          .gemz -w
garage         .g6raG -w
garden         .g#d~ -w
garden's       .g#d~z -w
gastroenteritis .g&stroEnt6r9tIs -w
gathered       .g&DRd -w
gave           .gev -w
general        .GEnRL -w
generally      .GEnR6li -w
generous       .GEnR6s -w
gentle         .GEntL -w
get            .gEt -w
gets           .gEts -w
getting        .gEtIN -w
gifts          .gIfts -w
gigi           .GiGi -w
gigi's         .GiGiz -w
ginger's       .GInGRz -w
girl           .g3l -w
girls          .g3lz -w
give           .gIv -w
given          .gIv~ -w
gives          .gIvz -w
giving         .gIvIN -w
glass          .gl&s -w
glasses        .gl&sIz -w
go             .go -w
goes           .goz -w
going          .goIN -w
golden         .gold~ -w
gone           .gOn -w
gonna          .g6n6 -w
good           .gUd -w
goodbye        .gUdb9 -w
goodness       .gUdnIs -w
goose          .gus -w
gorgeous       .g%G6s -w
got            .gat -w
gotten         .gat~ -w
grab           .gr&b -w
grabbed        .gr&bd -w
grabbing       .gr&bIN -w
grammatical    .gr6m&tIkL -w
grammatically  .gr6m&tIkli -w
grammie        .gr&mi -w
grammy         .gr&mi -w
gramps         .gr&mps -w
grandma        .gr&nma -w
grandma's      .gr&nmaz -w
grandmother's  .gr&nmADR -w
grandpa        .gr&mpa -w
grandparents   .gr&np*~ts -w
grape          .grep -w
grapes         .greps -w
grasp          .gr&sp -w
great          .gret -w
green          .grin -w
gretel         .grEtL -w
groceries      .grosriz -w
groucho        .grQco -w
group          .grup -w
groupings      .grupINz -w
grover         .grovR -w
grow           .gro -w
growing        .groIN -w
guess          .gEs -w
guide          .g9d -w
gums           .gAmz -w
gus            .gAs -w
guy            .g9 -w
gym            .GIm -w
h@l            .ec -w
had            .h&d -w
hadn't         .h&d~t -w
hair           .h* -w
hairbrush      .h*brAS -w
half           .h&f -w
ham            .h&m -w
hammer         .h&mR -w
hand           .h&nd -w
handed         .h&ndId -w
handfuls       .h&ndfUlz -w
handicapped    .h&ndik&pt -w
handing        .h&ndIN -w
hands          .h&ndz -w
hang           .h&N -w
hanging        .h&NIN -w
hangs          .h&Nz -w
hansel         .h&nsL -w
happen         .h&p~ -w
happened       .h&p~d -w
happening      .h&p6nIN -w
happens        .h&p~z -w
happily        .h&p6li -w
happy          .h&pi -w
hard           .h#d -w
harder         .h#dR -w
hardest        .h#dIst -w
hardly         .h#dli -w
harmful        .h#mfL -w
harness        .h#nIs -w
harvard        .h#vRd -w
has            .h&z -w
hasn't         .h&z~t -w
hat            .h&t -w
hate           .het -w
hated          .hetId -w
hates          .hets -w
hats           .h&ts -w
have           .h&v -w
haven't        .h&v~t -w
having         .h&vIN -w
he             .hi -w
he'd           .hid -w
he'll          .hil -w
he's           .hiz -w
head           .hEd -w
heads          .hEdz -w
hear           .h( -w
heard          .h3d -w
hears          .h(z -w
heart          .h#t -w
heavens        .hEv~ -w
heavy          .hEvi -w
hello          .hElo -w
help           .hElp -w
helped         .hElpt -w
helps          .hElps -w
her            .h3 -w
here           .h( -w
here's         .h(z -w
hers           .h3z -w
herself        .hRsElf -w
hey            .he -w
hi             .h9 -w
hide           .h9d -w
hiding         .h9dIN -w
high           .h9 -w
highchair      .h9c* -w
highchairs     .h9c*z -w
higher         .h9R -w
him            .hIm -w
himself        .hImsElf -w
his            .hIz -w
hit            .hIt -w
hokey          .hoki -w
hold           .hold -w
holding        .holdIN -w
holds          .holdz -w
hole           .hol -w
holes          .holz -w
home           .hom -w
homemade       .hommed -w
homes          .homz -w
honey          .hAni -w
hook           .hUk -w
hope           .hop -w
hoping         .hopIN -w
hopscotch      .hapskac -w
horse          .h%s -w
horses         .h%sIz -w
horsie         .h%si -w
horsie's       .h%siz -w
hot            .hat -w
hour           .QR -w
house          .hQs -w
houses         .hQsIz -w
how            .hQ -w
how's          .hQz -w
however        .hQEvR -w
hug            .hAg -w
huge           .hyuG -w
huggy          .hAgi -w
hugs           .hAgz -w
human          .hyum~ -w
humpty         .hAmpti -w
hungrier       .hANgriR -w
hungry         .hANgri -w
hurley's       .h3liz -w
hurt           .h3t -w
hurting        .h3tIN -w
husband        .hAzb~d -w
husband's      .hAzb~dz -w
i              .9 -w
i'd            .9d -w
i'll           .9l -w
i'm            .9m -w
i've           .9v -w
i@l            .9 -w
ice            .9s -w
ichabod        .Ik6bad -w
idea           .9di6 -w
identify       .9dEnt6f9 -w
if             .If -w
imaginary      .Im&G6n*i -w
imagination    .Im&G6neS~ -w
imagine        .Im&GIn -w
imitate        .ImItet -w
imitative      .ImItetIv -w
immediately    .ImidiItli -w
important      .Imp%t~t -w
in             .In -w
inanimate      .In&n6mIt -w
inappropriate  .In6propriIt -w
incessently    .InsEs~tli -w
including      .InkludIN -w
incredible     .InkrEd6bL -w
incredibly     .InkrEd6bli -w
indian         .Indi~ -w
initiated      .InISietId -w
ink            .iNk -w
inside         .Ins9d -w
insists        .InsIsts -w
instance       .Inst~s -w
instead        .InstEd -w
interaction    .IntR&kS~ -w
interest       .IntrIst -w
interested     .Intr6stId -w
interesting    .Intr6stIN -w
interpret      .Int3prIt -w
into           .Intu -w
intrigued      .Intrigd -w
introduced     .Intr6dust -w
involved       .Invalvd -w
involves       .Invalvz -w
iron           .9Rn -w
is             .Iz -w
isabel         .Iz6bL -w
isn't          .Iz~t -w
it             .It -w
it'll          .ItL -w
it's           .Its -w
its            .Its -w
j@l            .Ge -w
jabbering      .G&bRIN -w
jack           .G&k -w
jacket         .G&kIt -w
jackets        .G&kIts -w
jackie         .G&ki -w
jake           .Gek -w
jam            .G&m -w
jammies        .G&miz -w
jar            .G# -w
jars           .G#z -w
jeans          .Ginz -w
jeff           .GEf -w
jeff's         .GEfs -w
jeffrey        .GEfri -w
jeffrey's      .GEfriz -w
jello          .GElo -w
jelly          .GEli -w
jesse          .GEsi -w
jesus          .Giz6s -w
jewelry        .GuLri -w
jill           .GIl -w
jim            .GIm -w
job            .Gab -w
joey           .Goi -w
judy           .Gudi -w
judy's         .Gudiz -w
juice          .Gus -w
jumbled        .GAmbLd -w
jump           .GAmp -w
jumped         .GAmpt -w
jumping        .GAmpIN -w
just           .GAst -w
k@l            .ke -w
kay            .ke -w
kay's          .kez -w
keep           .kip -w
keeps          .kips -w
kept           .kEpt -w
key            .ki -w
keys           .kiz -w
kick           .kIk -w
kid            .kId -w
kid's          .kIdz -w
kiddo          .kIdo -w
kids           .kIdz -w
kids'          .kIdz -w
killing        .kIlIN -w
kind           .k9nd -w
kinds          .k9ndz -w
kiss           .kIs -w
kissable       .kIs6bL -w
kissed         .kIst -w
kisses         .kIsIz -w
kissing        .kIsIN -w
kitchen        .kIc~ -w
kite           .k9t -w
kitten         .kIt~ -w
kittens        .kIt~z -w
kitties        .kItiz -w
kitty          .kIti -w
kitty's        .kItiz -w
knee           .ni -w
knees          .niz -w
knew           .nu -w
knife          .n9f -w
knock          .nak -w
knocked        .nakt -w
knot           .nat -w
know           .no -w
knowledge      .nalIG -w
known          .non -w
knows          .noz -w
kristin        .krIst~ -w
l@l            .El -w
label          .lebL -w
laces          .lesIz -w
lacing         .lesIN -w
lack           .l&k -w
lady           .ledi -w
lady's         .lediz -w
lake           .lek -w
lane           .len -w
language       .l&NgwIG -w
lap            .l&p -w
laps           .l&ps -w
last           .l&st -w
late           .let -w
lately         .letli -w
later          .letR -w
latest         .letIst -w
laugh          .l&f -w
laughs         .l&fs -w
lauren         .l%~ -w
lauren's       .l%~z -w
law            .lO -w
lay            .le -w
learn          .l3n -w
learned        .l3nd -w
learning       .l3nIN -w
learns         .l3nz -w
leash          .liS -w
least          .list -w
leave          .liv -w
leaves         .livz -w
leaving        .livIN -w
left           .lEft -w
leg            .lEg -w
lego           .lEgo -w
legs           .lEgz -w
lemon          .lEm~ -w
lena           .lin6 -w
lena's         .lin6z -w
less           .lEs -w
let            .lEt -w
let's          .lEts -w
lets           .lEts -w
letter         .lEtR -w
letters        .lEtRz -w
letting        .lEtIN -w
